Artists,City,State
"['Wade Bowen', 'Flatland Cavalry, Kaitlin Butts', 'Parker McCollum', 'Koe Wetzel, Parker McCollum', 'Josh Abbott Band', 'Randy Rogers Band', 'Aaron Watson', 'Mike Ryan', 'Mosaic MSC', 'Cody Johnson', 'Cory Asbury', 'Lauren Daigle', 'Matt Maher', 'Housefires', 'Francesca Battistelli', 'Steffany Gretzinger, Amanda Cook, Bethel Music', 'Phil Wickham', 'Casting Crowns', 'Elevation Worship', 'Kristene Dimarco, Bethel Music', 'Tyler Childers', 'Aaron Shust', 'David Crowder Band', 'Hillsong Young & Free', 'Melissa Helser, Jonathan David Helser, Bethel Music', 'All Sons & Daughters', 'Hillsong United', 'Matthew West', 'Big Daddy Weave', 'MercyMe', 'The Belonging Co, Natalie Grant', 'Kari Jobe', 'NEEDTOBREATHE']",Abilene,Texas
"['Machine Gun Kelly', 'Justin Timberlake', 'Montana of 300', 'Morgan Wallen', 'AJR', 'Kid Cudi', 'Jordan Davis', 'Luke Combs', 'Jimmie Allen', 'Sammy Adams', 'High Valley', 'Scotty McCreery', 'Jake Owen', 'Dierks Bentley', 'Dylan Scott', 'Dustin Lynch', 'Jon Bellion', 'Craig Morgan', 'Walker Hayes', 'Chase Rice', 'Thomas Rhett', 'Young Money, Gucci Mane', 'Kane Brown', 'Brantley Gilbert', 'Chris Lane, Tori Kelly', 'Austin Burke', 'Sir Rosevelt', 'Cole Swindell', 'Brett Young', 'Toby Keith', 'Pop Evil', 'Godsmack', 'Chris Young', 'Granger Smith', 'Dylan Schneider', 'Filmore', 'Russell Dickerson', 'Saving Abel', 'Bleachers', 'My Darkest Days, Zakk Wylde', 'Saliva', 'Jason Aldean', 'Mitchell Tenpenny', 'Brett Eldredge', 'Smile Empty Soul', 'Rascal Flatts', 'Lindsay Ell', 'Old Dominion', 'Waka Flocka Flame, Roscoe Dash, Wale', 'Josh Turner', 'Morgan Evans', 'Waterloo Revival', 'Rodney Atkins, The Fisk Jubilee Singers', 'David Lee Murphy, Kenny Chesney', 'LANCO', 'Blake Shelton', 'Josh Mirenda', 'Luke Bryan', 'Brandon Lay', 'Seth Ennis', 'Eric Church', 'Chevelle', 'Devin Dawson', 'Billy Currington', 'Tim McGraw, Faith Hill', 'Breaking Benjamin', 'Keith Anderson', 'Bryce Vine', 'Jon Pardi', 'Kelsea Ballerini', 'Levi Hummon', 'Bowling For Soup', 'Michael Ray', 'Florida Georgia Line', 'Jimmy Buffett', 'Kenny Chesney', 'David Nail', 'Justin Moore', 'A Day To Remember', 'Styx', 'Parmalee', '10 Years', 'Montgomery Gentry', 'Coast Modern', 'Tee Grizzley', 'Canaan Smith', 'Brothers Osborne', 'Theory of a Deadman', 'Future', 'Chris Cagle', 'I Prevail', 'Seether', 'Childish Gambino', 'Baby Bash, T-Pain', 'Hawthorne Heights', 'Trent Harmon', 'Steffany Gretzinger, Bobby Strand', 'The Front Bottoms', 'Jeezy, Bankroll Fresh', 'Kip Moore']",Akron,Ohio
"['Tobias Rene', 'Alec Joseph', 'Mark Battles', 'Fox Stevenson', 'Faruk Sabanci, Axel', 'Big Gemini', 'Brown Boy, Nino Brown, Lighter Shade Of Brown, Dos, Zig-Zag, Zapp', 'Nastyboy Klick', 'Jamie Ray, YoungBoy Never Broke Again', 'Snow Tha Product', 'George Strait', 'Brooks & Dunn', 'South Park Mexican', '$uicideBoy$, Pouya', 'Lil Rob', 'Alpharock, Rhea Raj', 'NB Ridaz, Gemini', 'Johnny Lee', 'Amanda Perez', 'Freddy Fender', 'Dwight Yoakam', 'Phora', 'Tracy Lawrence', 'The Judds', 'Clint Black', 'Malo', 'Flatbush Zombies', 'Luke Bryan', 'Chris Young', 'Nicky Jam', 'Rittz, Mike Posner', 'Pouya', 'Mc Magic', 'Rosie & The Originals', 'Russ', 'Alan Jackson, George Strait', 'Tim McGraw', 'Ryan Caraveo', 'Jase Harley, Chris Lee', 'Billy Currington', 'Clay Walker', 'Knuckle Puck', 'Play-N-Skillz, Frankie J, Becky G, Kap G', 'Baby Bash, Raw Smoov', 'Lighter Shade Of Brown', 'Tech N9ne', 'Shenandoah', 'Blake Shelton', 'Paperboy', 'La Maquinaria Norteña', 'James Otto', 'James & Bobby Purify', 'Mo Thugs', 'La Zenda Norteña', 'Bone Thugs-N-Harmony', 'John Michael Montgomery', 'G-Eazy, Anthony Stewart', 'Felguk, Boogshe', 'Steve Holy', 'White! Noise', 'Three 6 Mafia', 'Smokey Robinson & The Miracles', 'David Lee Murphy', 'Jason Aldean', 'Futuristic', 'N2DEEP', 'Dirty Heads, Ward 21', 'Tracy Byrd', 'Keith Whitley', 'Diamond Rio', 'Do Or Die', 'King Lil G, Chikk', 'Blake', 'Keith Urban', 'Brad Paisley', 'Bart Crow', 'Kenny Chesney', 'Aaron Watson', 'Midland', 'Travis Tritt', 'Josh Turner', 'Lund', 'Plumb', 'Jeremih', 'Don Williams', 'Brenton Wood', 'Gary Allan', 'Conway Twitty', 'mansionz, Soren Bryce', 'Ritchie Valens', 'Ghostemane', 'Azizi Gibson', 'The-Dream, Fabolous', 'Los De La Noria', 'Rhett Akins', 'Kane Brown', 'Joe Nichols', 'Too $hort', 'gnash', 'James Brown']",Albuquerque,New Mexico
[],Alexandria,Virginia
"['Shotgun Rider', 'Josh Abbott Band', 'Randy Rogers Band', 'Bart Crow', 'Parker McCollum', 'Koe Wetzel, Parker McCollum', 'Stoney LaRue', 'William Clark Green', 'Aaron Watson', '7eventh Time Down', 'Mandisa, TobyMac, Kirk Franklin', 'Cody Johnson', 'Casey Donahew', 'Big Daddy Weave', 'Micah Tyler', 'Building 429', 'Ryan Stevenson', 'Jonny Diaz', 'Natalie Grant', 'Passion, Kristian Stanfill', 'Sidewalk Prophets', 'Jordan Feliz', 'Jon Wolfe', 'Mike Ryan', 'Casting Crowns', 'one sonic society', 'Jeremy Camp', 'Matthew West', 'Zach Williams', 'Crowder, Tauren Wells', 'Tenth Avenue North', 'Francesca Battistelli', 'TobyMac', 'Newsboys', 'Turnpike Troubadours', 'George Strait', 'MercyMe', 'Third Day, All Sons & Daughters', 'Whiskey Myers', 'Chris Tomlin', 'Matt Maher', 'Mosaic MSC', 'Hillsong United', 'for KING & COUNTRY', 'Austin French', 'Lauren Daigle', 'Matt Redman', 'Tauren Wells', 'Cory Asbury', 'Phil Wickham', 'Jesus Culture, Chris Quilala', 'NEEDTOBREATHE', 'Hillary Scott & The Scott Family', 'Steffany Gretzinger', 'Aaron Shust', 'Russ', 'Brooks & Dunn', 'Elevation Worship', 'Vertical Worship, Jon Guerra', 'Keith Urban', 'Eli Young Band', 'Hillsong Worship', 'Tyler Childers']",Amarillo,Texas
"['Caye, Wiz Khalifa', 'Sammy Adams', 'WATCH THE DUCK, T.I., DJ E-Feezy, MERCE', 'Alex Newell, Jess Glynne, DJ Cassidy, Nile Rodgers, Audien', 'Chelsea Cutler', 'Bryce Vine', 'Cousin Stizz, Offset', 'Quinn XCII', 'DJ Esco, Young Thug, Future, A Boogie Wit da Hoodie, DeJ Loaf', 'DRAM', 'Donnie Trumpet & The Social Experiment', 'Noname, Phoelix, Smino, Saba', 'Khalid', 'King Harvest', 'BROCKHAMPTON', 'Kanye West, Rick Ross', 'Chance The Rapper, Jeremih, R. Kelly', 'Frank Ocean', 'T-Pain, Lil Yachty', 'GoldLink, Hare Squead', 'Vulfpeck', 'The Head and the Heart', 'Travis Scott, Quavo', 'SZA', 'Saba, Jean Deaux', 'Vic Mensa', 'Marc E. Bassy, Kyle', 'Francis and the Lights, Chance The Rapper', 'Big Wild, Tove Styrke', 'Smino', 'A Boogie Wit da Hoodie, Alkaline', 'PnB Rock, Wiz Khalifa, NGHTMRE', 'Big Sean, Metro Boomin, Travis Scott', 'DJDS, Khalid, Charlie Wilson, Charlotte Day Wilson', 'The Lulls', 'Lorde', 'Rich The Kid, Quavo, Offset', 'Sylvan Esso']",Amherst,Massachusetts
"['The Bar-Kays', 'Suga Free', 'Doc Hollywood', 'Cali Life Style', 'Shoreline Mafia', 'DJ Quik', 'Devour', 'Rosie & The Originals', 'Zapp', 'Donnie Elbert', 'Billy Stewart', 'Mary Jane Girls', 'Brenton Wood', 'Rosie & The Originals', 'Ralfi Pagan', 'Patti Drew', 'Mary Wells', 'Vinny West', 'RJMrLA, Iamsu!', 'Radiobase, Cali Stackz', 'Los Dinamicos Del Norte', 'Barbara Mason', 'Los Hijos De Garcia', 'NB Ridaz', 'Kamaiyah, YG', 'Phora', 'YG', 'The Elgins', 'Little Anthony & The Imperials', 'Los Dos Grandes De La Sierra', 'Eleoth Garcia', 'Smokey Robinson', 'James & Bobby Purify', 'Lil Rob', 'Arsenal Efectivo', 'Fuerza Regida', 'Mack 10', 'Arley Perez', 'The Temprees', 'LEGADO 7', 'Hijos De Leyva', 'Los De Guamuchil', 'Grupo Codiciado', 'Kurupt, Tray Dee, Slip Capone', 'El Chicano', 'Mc Magic', 'King Lil G', 'Too $hort', 'The Persuaders', 'Dom Kennedy', 'Los Nuevos Rebeldes', 'Grupo Escolta', 'Grupo H-100', 'Ritchie Valens', 'Maxima Alianza', 'The Growlers', 'Frostydasnowmann', 'Dmac', 'Malo', 'Jesús Ojeda y Sus Parientes', 'Pete Wingfield', 'Nate Dogg, Snoop Dogg', 'Lenin Ramírez', 'Snoop Dogg, Kurupt, Nate Dogg, Warren G', 'Vaughan Mason and Crew', 'Barbara Lynn', 'Bobby Moore & The Rhythm Aces', 'YG', 'Mike Sherm', 'James Brown', 'Drakeo the Ruler', 'Bone Thugs-N-Harmony', 'La Sonora Dinamita, Eliana Sasies Carvajal', 'Grupo 360', 'Kanales', 'Grupo Fernandez, Los Del Arroyo, Banda Renovacion', 'Omar Ruiz', 'The Delfonics', 'Los Nuevos Ilegales', 'El de La Guitarra', 'Delegation', 'Los Sembradores', 'Martin Castillo', 'Salsalino, AngleTeam Marvo', 'Priceless Da Roc', 'Los Canelos De Durango', 'Primera Generacion', 'Mr. Criminal', 'El Fantasma', 'Xavier Wulf', 'Fuerza de Tijuana', 'N.W.A.', 'One Way', 'Chicano Batman', 'Los Cuates de Sinaloa', 'Chalino Sanchez', 'T3R Elemento', 'Noel Torres, LEGADO 7', 'Los Alegres Del Barranco', 'G.Q.']",Anaheim,California
"['Common Kings', 'The Wood Brothers', 'Trampled by Turtles', 'Langhorne Slim, The Law', 'Tech N9ne, Bizzy, Krizz Kaliko', 'Rittz, Mike Posner, B.o.B', 'Joseph', 'Family and Friends', 'J Boog', 'Tech N9ne Collabos', 'Shakey Graves', 'Nothing More', 'Dawes', 'Houndmouth', 'Maggie Rogers', 'Atmosphere', 'The Head and the Heart', 'Futuristic, Dizzy Wright, Layzie Bone', 'Dispatch', 'Ezra Vine', 'Caamp', 'Zach Williams', 'G-Eazy, Devon Baldwin', 'Lord Huron', 'Coast Modern', 'Milo Greene', 'Lund', 'The Oh Hellos', 'Fruit Bats', 'Mandolin Orange', 'The Revivalists', 'Skizzy Mars, G-Eazy, Olivver the Kid', 'Kid Rock, Sheryl Crow', 'Kevin Garrett', 'flor', 'Russ', 'Bahamas', 'Theory of a Deadman', 'Hollywood Undead', 'Bryce Vine', ""Lil' Troy"", 'First Aid Kit', 'Half Moon Run', 'Pouya', 'Rehab', 'PnB Rock', 'Marc E. Bassy', 'The Brinks', 'Hundred Waters, Chance The Rapper, Robin Hannibal, Moses Sumney, Skrillex', 'Highly Suspect', 'Gregory Alan Isakov', 'Ryan Caraveo', 'gianni & kyle', 'The Lumineers', 'Of Monsters and Men', 'The Avett Brothers', 'Hozier', 'Tall Heights', 'Tori Kelly, The HamilTones', 'Rainbow Kitten Surprise', 'E-40', ""Israel Kamakawiwo'ole"", 'Lucius', 'In This Moment', 'Bruno Major', 'Hoodie Allen, Blackbear', 'Noah Schnacky', 'Yung Gravy', 'Egypt Central', 'Iration', 'Portugal. The Man', 'Freedom Fry', 'Lostboycrow, Skizzy Mars', 'Khalid', 'mansionz', 'Birdtalker', 'Local Natives', 'Mike Stud', 'Machine Gun Kelly, Kid Rock', 'The Heavy', 'Generationals', 'Rayland Baxter', 'B.o.B, Lil Wayne', 'Seether', 'Halsey', 'The Expendables', 'Witt Lowry', 'Blind Pilot', 'MadeinTYO, 2 Chainz', ""Olivia O'Brien"", 'Supa Dupa Humble, Mills Supreme', 'TobyMac', 'Shinedown', 'Old Crow Medicine Show', 'Cassadee Pope', 'Keith Urban', 'Denny White', 'Brad Paisley, Alison Krauss', 'Judah & the Lion', 'Yelawolf, Eminem']",Anchorage,Alaska
"['The University of Michigan Marching Band', 'Louis The Child, Blaise Railey', 'Vulfpeck', 'Diet Cig', 'Sammy Adams', 'Ty Dolla $ign, Future, Rae Sremmurd, Louis The Child', 'Mitski', 'Alex Newell, Jess Glynne, DJ Cassidy, Nile Rodgers, Audien', 'Sufjan Stevens', 'Jacob Banks, Louis The Child', ""'In The Heights' Original Broadway Company, Mandy Gonzalez"", 'Miike Snow, Louis The Child', 'Bastille, Don Diablo', ""Lin-Manuel Miranda, 'In The Heights' Original Broadway Company"", 'Lorde', ""The Mowgli's"", 'Lost Kings, Cosmos & Creature', 'Louis Futon, Ashe, Armani White', 'Jukebox The Ghost', 'Stello', 'Cowode', 'Quinn XCII', 'Jon Brion', 'BROCKHAMPTON', 'Francis and the Lights, Chance The Rapper', 'Frankie Cosmos', 'The Head and the Heart', 'Lord Huron', 'Prince Fox, Quinn XCII', 'ODESZA, Leon Bridges', 'Local Natives', 'Lights & Motion', 'The Six Parts Seven', 'Hippo Campus', 'Balmorhea', 'Random Forest', 'The Echelon Effect', 'ayokay', 'The Lulls', 'Bleachers', 'Donnie Trumpet & The Social Experiment', 'David Wingo', 'STRFKR', 'MisterWives', 'Whethan, Mascolo', 'Two Friends, Cosmos & Creature', 'Epic45', 'Fleet Foxes', 'At The End Of Times, Nothing', 'Rainbow Kitten Surprise', 'U137', 'Of Water', 'Wun Two', 'Helios', 'Grizfolk', 'Tracey Chattaway', 'Ra Ra Riot, Rostam', 'Cooper Sams', 'William Roud', 'The Shins', 'Lake Street Dive', 'Elephante, Brandyn Burnette', 'The Milk Carton Kids', 'The American Dollar', 'Vampire Weekend', 'Taylor Bennett, Chance The Rapper', 'Elise Magnefold', 'Magic Man', 'Keith Kenniff, Goldmund', 'Poppy Ackroyd', 'Andrew Bird', 'This Patch of Sky', 'Rogue Wave', 'Frank Ocean', 'Two Door Cinema Club', 'mt. fujitive', 'Soccer Mommy', 'Dr. Dog', 'flor', 'Smallpools', 'Green Assassin Dollar', 'Chelsea Cutler, Quinn XCII', 'Heron', 'Ben Platt, Lin-Manuel Miranda', 'Suss', 'Niklas Aman', 'Clem Leek', 'Hammock', 'Saint Motel', 'Bon Iver', 'Yeah Yeah Yeahs, A-Trak', 'The End Of The Ocean', 'Cherub', 'GRiZ, Big Gigantic', 'Elohim', 'Arbour', 'Sweater Beats, KAMAU', 'Philanthrope', 'Whitney', 'City of the Sun']",Ann Arbor,Michigan
"['AllBlack, DaBoii', 'Yhung T.O.', 'Lil Pete', 'Mozzy, Yhung T.O., Too $hort, Dcmbr', 'Slimmy B', 'Mike Sherm', 'Nef The Pharaoh, Slimmy B', 'Yid, Lil Yee', 'SOB X RBE', 'The Jacka, Andre Nickatina', 'DaBoii', 'Drakeo the Ruler, SOB X RBE', 'Prezi', 'Kiing Rod', 'Mac Dre', 'Philthy Rich, Iamsu!', 'Kt Foreign, Nef The Pharaoh, Yhung T.O.', 'P-Lo, E-40', 'Keak Da Sneak', 'Salsalino, AngleTeam Marvo', 'Iamsu!', 'E-40, B-Legit, P-Lo', '03 Greedo', 'RJMrLA, Iamsu!', 'Kamaiyah, YG', 'Berner', 'Shoreline Mafia', 'Too $hort', 'YG', 'OMB Peezy, YoungBoy Never Broke Again', 'Mustard, Ty Dolla $ign', 'T3R Elemento', 'LEGADO 7', 'Arsenal Efectivo', 'Hijos De Leyva', 'Los Hijos De Garcia', 'Ella Mai', 'El Fantasma', 'Voz De Mando, El Fantasma', 'Omar Ruiz', 'Grupo Codiciado', 'El de La Guitarra', 'Keyshia Cole', 'Los Cuates de Sinaloa', 'Problem', 'El Coyote Y Su Banda Tierra Santa', 'Nipsey Hussle, YG', 'Phora', 'Ariel Camacho y Los Plebes Del Rancho', 'Traviezoz de la Zierra', 'Kevin Ortiz, Ulices Chaidez', 'Grupo Maximo Grado', 'Tee Grizzley', 'DJ NRD, Queen', 'Jacquees, DeJ Loaf', 'Lenin Ramírez', 'Layton Greene', 'Los Dareyes De La Sierra', 'T-Pain', 'Sage The Gemini', 'Adriel Favela', 'Adrian Marcel, Sage The Gemini']",Antioch,California
