Artists,City,State
"['Ray J, Boosie Badazz', 'Ray J, The Mob Group, Payso B', 'Pakman Jitt', 'Alec Joseph', 'Fox Stevenson', 'Shaboozey', 'Tenside', 'Franz Liszt, Dinu-Mihai Stefan', 'N3WPORT', 'MC Ceja', 'Back Talk, The Fame Riot', 'Tenside', 'Sergei Rachmaninoff, Dinu-Mihai Stefan', 'Alec Joseph', 'Ludwig van Beethoven, Dinu-Mihai Stefan', 'Franz Liszt, Dinu-Mihai Stefan', 'N3WPORT, Annaka', 'Franz Liszt, Dinu-Mihai Stefan', 'Ludwig van Beethoven, Dinu-Mihai Stefan', 'Sergei Rachmaninoff, Dinu-Mihai Stefan', 'Ludwig van Beethoven, Dinu-Mihai Stefan', 'Clean Bandit, Zara Larsson, Joseph Duveen, LODATO', 'Alec Joseph, Chel', 'The Eiffels', 'DJ Spinz, K-Major', 'DJ Nan2, LuiGProdigy', 'Ashla Taylor', 'Far Out', 'B. Howard', 'Mr. 2Kay, Reekado Banks', 'Nick Tangorra', 'Razor B, Nu Born', 'Bobbi Storm', 'David Fanning', 'Bella Dose', 'Shifta, Wayne Wonder', 'Clean Bandit, Sean Paul, Anne-Marie, Joseph Duveen, LODATO', 'Mark Dohner, Flight School', 'Josh Dreon', '1st Class Mob', 'Faruk Sabanci, Axel', 'Mike Destiny, Dekon', 'Josh Dreon', 'TORN', 'Alpharock, Rhea Raj', ""Jo' & Eliah"", 'Amidy', 'Helt Okej Boden', 'Josh Dreon, Sefi Carmel', '6ig Angu5', 'Seth Hills, Pitchback', 'Billz', 'Ginny Vee, Manovski, Alan Aguero', 'Kayliox, IYFFE', 'The Truth Experiment', 'All the Rest', 'Ameria', 'Oxymorrons', 'RUMRS', 'Loso Loaded, PnB Rock', 'Enesse', 'Sergioisdead, Matt Booth', 'Brooks & Dunn', 'Vorwerk', 'MC Ceja', 'Felguk, Boogshe', 'Ramone, Tory Lanez', 'LINC', 'Roy Demeo', 'Drako', 'Ladotee', 'Sena Kana', 'Benny Freestyles', 'NtrlTaste', 'Embody, Matt Wilson', 'Mehcad Brooks', 'Jack Novak', 'Felixx', 'Macro', 'Nastyboy Klick', 'Barachi', 'DJ Trauma, The Dan', 'South Park Mexican', 'Lil Rob', 'NB Ridaz, Gemini', 'Charming Liars', 'Stephanie Quayle', 'Brown Boy, Nino Brown, Lighter Shade Of Brown, Dos, Zig-Zag, Zapp', 'Lil Rob', 'South Park Mexican', 'George Strait', 'South Park Mexican', 'Snow Tha Product', 'NB Ridaz', 'JADE, MOD SUN', 'George Strait', 'Brooks & Dunn', 'George Strait', 'Billy Currington', 'Tech N9ne, Snow Tha Product, Navé Monjo']",Albuquerque,New Mexico
"['Shoreline Mafia', 'Shoreline Mafia', 'Shoreline Mafia', 'Suga Free', 'Brenton Wood', 'Los Hijos De Garcia', 'Brenton Wood', 'Arsenal Efectivo', 'Rosie & The Originals', 'Arsenal Efectivo', 'DJ Quik', 'Suga Free', 'Cali Life Style', 'Los Hijos De Garcia', 'Brenton Wood', 'Grupo Codiciado', 'Arsenal Efectivo', 'Suga Free', 'Los De Guamuchil', 'RJMrLA, Iamsu!', 'Devour', 'YG', 'Zapp', 'RJMrLA', 'LEGADO 7', 'Billy Stewart', 'El de La Guitarra', 'Hijos De Leyva', 'LEGADO 7', 'NB Ridaz', 'Kamaiyah, YG', 'Mike Sherm', 'Lil Rob', 'El de La Guitarra', 'LEGADO 7', 'YG', 'Los Nuevos Rebeldes', 'El de La Guitarra', 'Zapp', 'Too $hort', 'Maxima Alianza', 'Los Hijos De Garcia', 'Grupo Codiciado', 'Vinny West', 'Snoop Dogg, Kurupt, Nate Dogg, Warren G', 'Los Minis de Caborca', 'Kurupt', 'Too $hort', 'Grupo Codiciado', 'The Elgins', 'Omar Ruiz, Gerardo Ortiz', 'YG, RJ, Nipsey Hussle', 'Kanales', 'Omar Ruiz', 'Smokey Robinson', 'Dom Kennedy', 'King Lil G', 'SOB X RBE', 'Barbara Mason', 'Grupo Escolta', 'James & Bobby Purify', 'King Lil G, David Ortiz', 'Malo', 'Lenin Ramírez', 'King Lil G, B-Real', 'Los Nuevos Ilegales', 'The Temprees', 'Omar Ruiz', 'Grupo Maximo Grado', 'Billy Stewart', 'Fuerza de Tijuana', 'T3R Elemento', 'DJ Quik', 'Grupo H-100', 'Los Alegres Del Barranco', 'Los Alegres Del Barranco', 'Los De Guamuchil', 'Los De Guamuchil, Grupo Los Muchachos', 'Rosie & The Originals', 'Los Morros Del Norte', 'Arley Perez', 'Kanales', 'NB Ridaz, Gemini', 'Los Nuevos Rebeldes', 'Los Cuates de Sinaloa', 'El Fantasma', 'T3R Elemento', 'Roberto Tapia', 'El Fantasma', 'Nastyboy Klick', 'Lighter Shade Of Brown', 'Tito Torbellino', 'Los Sembradores', 'Los Nuevos Rebeldes', 'El Fantasma', 'The Persuaders', 'Mc Magic', 'Los Canelos De Durango', 'SOB X RBE', 'Mary Wells']",Anaheim,California
"['Sammy Adams', ""Lin-Manuel Miranda, 'In The Heights' Original Broadway Company"", 'Louis The Child, Icona Pop', ""'In The Heights' Original Broadway Company, Mandy Gonzalez"", 'Lin-Manuel Miranda, Christopher Jackson, Robin de Jesus, Seth Stewart, Janet Dacal, Andrea Burns', 'Sufjan Stevens', 'Louis The Child, Joey Purp', 'Alex Newell, Jess Glynne, DJ Cassidy, Nile Rodgers, Audien', 'Vulfpeck', 'Ben Platt, Lin-Manuel Miranda', 'Two Friends, Cosmos & Creature', 'Ty Dolla $ign, Future, Rae Sremmurd, Louis The Child', 'Louis The Child, Evalyn', 'Quinn XCII, Kailee Morgue', 'Vulfpeck', 'Vulfpeck', 'Quinn XCII', 'Quinn XCII', 'The Head and the Heart', 'ayokay, Quinn XCII', ""The Mowgli's"", 'Francis and the Lights, Chance The Rapper', 'Kasbo, Frida Sundemo', 'Donnie Trumpet & The Social Experiment', 'Whethan, Mascolo', 'Bastille, Don Diablo', 'Whethan, Ashe', 'Keith Kenniff, Goldmund', 'Beach House', 'Vince Staples', 'Soccer Mommy', 'Random Forest', 'Houndmouth', 'ODESZA, Leon Bridges', 'Kanye West, Rick Ross', 'Cherub', 'Ra Ra Riot, Rostam', 'Mat Kearney, RAC', 'Epic45', 'MisterWives', 'WALK THE MOON', 'Glass Animals', 'Mt. Joy', 'Chance The Rapper, T-Pain, Kirk Franklin, Eryn Allen Kane, Noname', 'The Head and the Heart', 'Elephante, Brandyn Burnette', 'Kanye West', 'The Milk Carton Kids', 'Kanye West, Kid Cudi, Raekwon', 'Chance The Rapper, Jeremih, Francis and the Lights', 'The Echelon Effect', 'Jon Brion', 'The American Dollar', 'The Head and the Heart', 'Hippo Campus', 'Bleachers', 'The Six Parts Seven', 'Bleachers', 'Foster The People, Stereotypes']",Ann Arbor,Michigan
"['MO3', 'MO3, Moneybagg Yo', 'Mr. Pookie', 'La Fiera de Ojinaga, La Energia Nortena', 'MO3', 'Go Yayo', 'Grupo Legitimo', 'Grupo Legitimo', 'La Fiera de Ojinaga', 'La Maquinaria Norteña', 'La Fiera de Ojinaga', 'Z-Ro', 'Big Moe', 'La Maquinaria Norteña', 'Grupo Legitimo', 'La Zenda Norteña', 'South Park Mexican', 'ABN', 'Z-Ro', 'Estilo Chihuahua', 'Pimp C', 'Los Pescadores Del Rio Conchos', 'Z-Ro', 'South Park Mexican', 'La Fe Norteña De Toño Aranda', 'La Reunion Nortena', 'South Park Mexican', 'La Maquinaria Norteña', 'Lil Keke, UGK, Paul Wall', 'La Zenda Norteña', 'UGK', 'Retoños Del Rio', 'Conjunto Rio Grande', 'Conjunto Rio Grande', 'Young Dolph, T.I.', 'Pimp C', 'Conjunto Rio Grande', 'La Fe Norteña', 'La Reunion Nortena', 'Conjunto Azabache', 'El de La Guitarra', 'UGK', 'La Furia del Bravo', 'Arsenal Efectivo', 'Hijos De Leyva', 'La Zenda Norteña', 'Los Hijos De Garcia', 'Sueño Norteño', 'Josh Abbott Band', 'Los Rugar', 'UGK', 'Moneybagg Yo, Yo Gotti', 'Koe Wetzel, Parker McCollum', 'Pimp C', 'Koe Wetzel', 'Trae Tha Truth', 'El de La Guitarra', 'Moneybagg Yo', 'Brooks & Dunn', 'El de La Guitarra', 'Conjunto Nube', 'Arsenal Efectivo', 'Koe Wetzel', 'Moneybagg Yo', 'Retoños Del Rio', 'Young Dolph', 'Bun B', 'Paul Wall, Slim Thug, J-Dawg, Lil Keke, Z-Ro, Chamillionaire', 'Key Glock, Jay Fizzle', 'Lil Keke', 'Plies', 'Randy Rogers Band', 'Webbie, Mouse On Tha Track', 'Boosie Badazz, Webbie', 'Randy Rogers Band', 'Key Glock', 'Boosie Badazz', 'Los Hijos De Garcia', 'YoungBoy Never Broke Again', 'Siggno', 'Young Dolph, Boosie Badazz', 'Arsenal Efectivo', 'Slim Thug, J-Dawg, Z-Ro', 'Key Glock', 'Webbie', 'LEGADO 7', 'Geru y Su Legion 7', 'Bun B', 'Boosie Badazz, Webbie', 'YoungBoy Never Broke Again', 'Los Rieleros Del Norte', 'Money Man', 'YoungBoy Never Broke Again, Moneybagg Yo', 'Lil Baby, Moneybagg Yo', 'Los De La Noria', 'Los Rieleros Del Norte', 'LEGADO 7', 'Mike Jones, Paul Wall, Slim Thug', 'Randy Rogers Band', 'LEGADO 7']",Arlington,Texas
"['Ray J, Boosie Badazz', 'Ray J, The Mob Group, Payso B', 'Pakman Jitt', 'Alec Joseph', 'N3WPORT', 'Tenside', 'Sergei Rachmaninoff, Dinu-Mihai Stefan', 'Sergei Rachmaninoff, Dinu-Mihai Stefan', 'Sergei Rachmaninoff, Dinu-Mihai Stefan', 'Philip Glass, Dinu-Mihai Stefan', 'Franz Liszt, Dinu-Mihai Stefan', 'Franz Liszt, Dinu-Mihai Stefan', 'Franz Liszt, Dinu-Mihai Stefan', 'N3WPORT, Annaka', 'Tenside', 'Ludwig van Beethoven, Dinu-Mihai Stefan', 'Tasman Holloway, Trendi', 'Ludwig van Beethoven, Dinu-Mihai Stefan', 'Alec Joseph', 'Ludwig van Beethoven, Dinu-Mihai Stefan', 'Johann Sebastian Bach, Ludwig van Beethoven, Frédéric Chopin, Pyotr Ilyich Tchaikovsky, Dinu-Mihai Stefan', 'Alexander Scriabin, Dinu-Mihai Stefan', 'Shaboozey', 'Johann Sebastian Bach, Ludwig van Beethoven, Frédéric Chopin, Pyotr Ilyich Tchaikovsky, Dinu-Mihai Stefan', 'N3WPORT', 'Johann Sebastian Bach, Ludwig van Beethoven, Frédéric Chopin, Pyotr Ilyich Tchaikovsky, Dinu-Mihai Stefan', 'Philip Glass, Dinu-Mihai Stefan', 'Philip Glass, Dinu-Mihai Stefan', 'Francis Moon', 'MC Ceja', 'Doc Holiday, Slim Thug', 'Alec Joseph', 'Pierce Clarke', 'The Eiffels', 'Clean Bandit, Zara Larsson, Joseph Duveen, LODATO', 'Alexander Scriabin, Dinu-Mihai Stefan', 'Brinkenstjärna, Frida', 'Lizzy Land, Back Talk', 'George Enescu, Dinu-Mihai Stefan', 'DJ Nan2, LuiGProdigy', 'Ray J', 'Emilio Rojas, Sebastian Mego', 'Crew 7', 'Back Talk, The Fame Riot', 'Dash Flash, D Savage', 'Chris Orrick, Fashawn', 'Fox Stevenson', 'Mike Liegel', 'Hunter', 'Lyre Le Temps', 'Ashla Taylor', 'B. Howard', 'Nick Tangorra', 'Razor B, Nu Born', 'Clean Bandit, Sean Paul, Anne-Marie, Joseph Duveen, LODATO', 'Rob Hicks, Air Kalo', 'Bella Dose', 'Yung Yizzo', 'Far Out', 'Little Stranger', 'Humongous The God, Oohdem Beatz', 'Eden xo, Travis Mills', 'David Fanning', 'Mr. 2Kay, Reekado Banks', 'Shifta, Wayne Wonder', 'Jay la Maravilla', 'DJ Spinz, K-Major', 'Johnny Martin', 'Raja, Tory Lanez', 'Poptracker, Nathan Trent', 'DJ Nan2, Natti Natasha, Daddy Yankee', 'Egomunk', 'MC Ceja, Baby Rasta & Gringo', 'MC Ceja', 'Mike Destiny, Dekon', 'TORN', 'Mark Dohner, Flight School', 'Eddy Fish, Gucci Mane', 'United States Marine Band, GH Hat, John Philip Sousa', 'Bobbi Storm', 'WILSONN', 'Josh Dreon, Sefi Carmel', 'Billz', 'Josh Dreon', 'Josh Dreon', 'US Navy Band', 'THRILLERS', 'Chance, DJ cMX', 'Chance, Kygo, a, DJ cMX', '1st Class Mob', 'Helt Okej Boden', 'Bryan Ghee', '6ig Angu5', ""Jo' & Eliah"", 'Seth Hills, Pitchback', 'Oxymorrons', 'Amidy', 'Faruk Sabanci, Axel', 'US Marine Band', 'US Marine Band']",Asheville,North Carolina
"['Riley Green', 'Riley Green', 'YFN Lucci', 'YFN Lucci', 'YFN Lucci', 'Riley Green', 'Ray J, Boosie Badazz', 'Corey Smith', 'Young Nudy', 'Young Nudy', 'Lil Baby, Gunna', 'Corey Smith', 'Lil Baby', 'Lil Baby', 'Rich Homie Quan', 'Rich Homie Quan', 'Rich Homie Quan', 'Young Scooter', 'Gunna, Lil Baby, Young Thug', 'Moneybagg Yo, Yo Gotti', 'Blac Youngsta, Lil Yachty', 'Key Glock', 'Young Nudy, Lil Yachty', 'YFN Kay', 'Derez Deshon', 'Gunna', 'Young Dolph', 'HoodRich Pablo Juan', 'Plies', 'Lil Yachty, Offset, Lil Baby', 'Gunna', 'Alabama', 'Migos', 'Muscadine Bloodline', 'Young Dolph, Wiz Khalifa', 'Moneybagg Yo', 'Young Dolph, T.I.', 'Hank Williams, Jr.', 'Lil Yachty, 2 Chainz, K$upreme', 'Moneybagg Yo', 'Lil Yachty', 'Yo Gotti, YFN Lucci', 'Blac Youngsta', 'Moon Taxi', 'Mykko Montana, K CAMP', 'Joe Gifted, Fronstreet', 'Luke Combs', 'Boosie Badazz', 'Bankroll Fresh, Travis Porter, Street Money Boochie', 'YoungBoy Never Broke Again, Future', 'Ralo, Lil Baby', 'Derez Deshon', 'Pastor Troy', 'Quality Control, Lil Yachty, Quavo, Offset', 'Ball Greezy, Lil Dred', 'Jeezy, Bankroll Fresh', 'Trouble, Skippa Da Flippa', 'Key Glock', 'BlocBoy JB', 'Lil Wayne', 'Jamey Johnson', 'Passion, Sean Curran', 'Derez Deshon', 'Luke Combs', 'Gucci Mane, Migos, Lil Yachty', 'Key Glock', 'YoungBoy Never Broke Again', 'Yo Gotti', 'Alec Joseph', 'David Allan Coe', 'Plies, Kodak Black', 'Jake Owen', 'Luke Combs', 'The Band Of Heathens', 'Jason Aldean', 'Scotty McCreery', 'Crime Mob, Lil Scrappy', 'Cody Jinks', 'Yung Bleu', 'Hank Williams, Jr.', 'HoodRich Pablo Juan, Lil Baby', 'Tee Grizzley, Moneybagg Yo', 'Hank Williams, Jr.', 'Jon Langston', 'Blac Youngsta', 'YoungBoy Never Broke Again', 'WATCH THE DUCK, T.I., DJ E-Feezy, MERCE', 'Jamey Johnson', 'Taylor Ray Holbrook, Ryan Upchurch', 'Passion, Melodie Malone', 'Jake Owen', 'Skooly, 2 Chainz', 'Young Scooter, Future, Young Thug', 'Quality Control, Lil Baby, Kodak Black, Quavo, Moneybagg Yo', 'O.T. Genasis, 2 Chainz', 'Morgan Wallen, Florida Georgia Line', 'Upchurch', 'Alabama', 'Eric Church', 'Gucci Mane, 2 Chainz, Young Dolph']",Atlanta,Georgia
"['La Maquinaria Norteña', 'Tech N9ne, Snow Tha Product, Navé Monjo', 'La Maquinaria Norteña', 'El de La Guitarra', 'El de La Guitarra', 'La Zenda Norteña', 'Tech N9ne', 'El de La Guitarra', 'Pretty Lights', 'La Zenda Norteña', 'Tech N9ne, Navé Monjo', '888', 'Arsenal Efectivo', 'Greensky Bluegrass', 'NB Ridaz', 'GRiZ, Cherub', 'Big Gigantic, Pell', 'Lil Rob', 'Arsenal Efectivo', 'Los Hijos De Garcia', 'Rittz, Mike Posner, B.o.B', 'Rittz, Mike Posner', 'Los De La Noria', 'Pretty Lights', 'La Zenda Norteña', 'Pretty Lights', 'GRiZ, Big Wild, Talib Kweli', 'GRiZ, Big Gigantic', 'King Lil G', 'Jukebox The Ghost', 'King Lil G, David Ortiz', 'King Lil G, Chikk', 'Jovanny Cadena Y Su Estilo Privado', 'Big Gigantic, Logic, ROZES', 'Hijos De Leyva', 'Jesús Ojeda y Sus Parientes', 'Perdidos De Sinaloa', 'Arsenal Efectivo', 'Dirty Heads', 'Snow Tha Product', 'Perdidos De Sinaloa', 'The Wrecks', 'Dirty Heads, Tech N9ne', 'Lenin Ramírez, Ulices Chaidez', 'Greensky Bluegrass', 'Brooks & Dunn', 'Jovanny Cadena Y Su Estilo Privado', 'Phora', 'Dirty Heads', 'South Park Mexican', 'Atmosphere', 'Phora', 'Los De La Noria', 'Logic', 'Futuristic, Dizzy Wright, Layzie Bone', 'Zeds Dead, Memorecks', 'Logic, 2 Chainz', 'Phora', 'Big Wild', 'Perdidos De Sinaloa', 'lovelytheband', 'Bad Suns', 'Pouya', 'Logic', 'Flatbush Zombies, Dia', 'Blue October', 'Slightly Stoopid', 'Louis The Child, Joey Purp', 'ODESZA, WYNNE, Mansionair', 'Atmosphere', 'The Expendables', 'LEGADO 7', 'Omar Ruiz, Gerardo Ortiz', 'The Wood Brothers', 'Tech N9ne Collabos', 'Nathaniel Rateliff & The Night Sweats', 'LEGADO 7', 'Hippie Sabotage', 'DREAMERS', 'Grupo Codiciado', 'Judah & the Lion', 'LEGADO 7', 'Famous Dex', 'NGHTMRE, SLANDER', 'Baby Bash, Frankie J', 'Omar Ruiz', 'Jovanny Cadena Y Su Estilo Privado', '$uicideBoy$, Pouya', 'The Movement', 'Raymix', 'Nathaniel Rateliff & The Night Sweats', 'The Wood Brothers', 'Jake Owen', 'T3R Elemento', 'Russ', 'Slightly Stoopid', 'YG', 'Big Gigantic, Kasbo, Angela McCluskey', 'Pouya', 'XXXTENTACION']",Aurora,Colorado
"['David Ramirez', 'Becca Mancari', 'Twain', 'The Texas Gentlemen', 'Randy Rogers Band', 'Ghostland Observatory', 'Randy Rogers Band', 'Randy Rogers Band', 'Josh Abbott Band, Pat Green', 'Josh Abbott Band', 'BRONCHO', 'Lukas Nelson and Promise of the Real', 'Turnpike Troubadours', 'Turnpike Troubadours', 'Z-Ro', 'Turnpike Troubadours', 'Randy Rogers, Wade Bowen', 'Pat Green', 'Pat Green', 'Robert Earl Keen', 'Robert Earl Keen', 'Parker McCollum', 'Josh Abbott Band', 'Parker McCollum', 'Kevin Fowler', 'Bart Crow', 'Cody Johnson', 'Stoney LaRue', 'Wade Bowen', 'William Clark Green', 'Charlie Robison', 'Wade Bowen', 'Robert Earl Keen', 'Flatland Cavalry, Kaitlin Butts', 'Wade Bowen', 'Charlie Robison', 'Fat Pat', 'William Clark Green', 'Cody Johnson', 'Flatland Cavalry', 'Parker McCollum', 'William Clark Green', 'Stoney LaRue', 'Flatland Cavalry', 'Cody Johnson', 'Roger Creager', 'Koe Wetzel', 'Jason Boland & The Stragglers', 'Brooks & Dunn', 'The Damn Quails', 'Koe Wetzel, Parker McCollum', 'Curtis Grimes', 'Cory Morrow', 'Pat Green', 'Aaron Watson', 'Shane Smith & the Saints', 'Koe Wetzel', 'Shakey Graves', 'Ryan Bingham', 'Mike Ryan', 'Durand Jones & The Indications', 'Cross Canadian Ragweed', 'Whiskey Myers', 'Reckless Kelly', 'Lil Keke, UGK, Paul Wall', 'Jon Wolfe', 'George Strait', 'Jon Wolfe', 'Tyler Childers', 'Ryan Bingham', 'Siggno', 'Casey Donahew', 'Cross Canadian Ragweed', 'Whiskey Myers', 'Mike Ryan', 'Casey Donahew', 'Shotgun Rider', 'Shovels & Rope, Shakey Graves', 'Z-Ro', 'Soccer Mommy', 'Mt. Joy', 'Aaron Watson', 'Shakey Graves', 'Rayland Baxter', 'Uncle Lucius', 'Shakey Graves', 'Guy Clark', 'Thieving Birds', 'Aaron Watson', 'Casey Donahew', 'Sturgill Simpson', 'South Park Mexican', 'Sturgill Simpson', 'South Park Mexican', 'George Strait', 'Leon Bridges', 'Lucy Dacus', 'Built To Spill', 'Slim Thug', 'UGK, OutKast']",Austin,Texas
"['RJMrLA', 'Mike Sherm', 'Frostydasnowmann', 'Vinny West', 'Mozzy, Yhung T.O., Too $hort, Dcmbr', 'Frostydasnowmann', 'RJMrLA, Iamsu!', 'Lil Pete', 'Mike Sherm', 'Yhung T.O.', 'Mike Sherm', 'SOB X RBE', 'Kt Foreign, Nef The Pharaoh, Yhung T.O.', 'SOB X RBE', 'Drakeo the Ruler, SOB X RBE', 'Brenton Wood', 'Kamaiyah, YG', 'Mozzy, SOB X RBE', 'Dmac', 'Shoreline Mafia', 'YG, RJMrLA', 'Shoreline Mafia', 'SOB X RBE', 'YG, RJ, Nipsey Hussle', 'Shoreline Mafia', 'Priceless Da Roc', 'Nef The Pharaoh', 'YG', 'Yhung T.O.', 'Ramon Ayala Y Sus Bravos Del Norte', 'E-40', 'Brenton Wood', 'Mozzy', 'Arsenal Efectivo', 'Nef The Pharaoh, Slimmy B', 'Rosie & The Originals', 'Arsenal Efectivo', 'E-40, YG, Problem, Iamsu!', 'Too $hort', 'NB Ridaz', 'Arsenal Efectivo', 'Lil Rob', 'James & Bobby Purify', 'T3R Elemento', 'King Lil G, Chikk', 'Los Hijos De Garcia', 'Los De Guamuchil', 'King Lil G, David Ortiz', 'LEGADO 7', 'King Lil G', 'Omar Ruiz', 'Mc Magic', 'T3R Elemento', 'LEGADO 7', 'T3R Elemento', 'El de La Guitarra', 'Hijos De Leyva', 'Omar Ruiz', 'Los Alegres Del Barranco', 'E-40, Keak Da Sneak', 'P-Lo, E-40', 'Phora', 'Los Morros Del Norte', 'LEGADO 7', 'El de La Guitarra', 'Grupo Codiciado', 'Omar Ruiz, Gerardo Ortiz', 'Phora', 'Too $hort', 'El de La Guitarra', 'Grupo Codiciado', 'Kanales', 'Perdidos De Sinaloa', 'Mac Dre', 'Ramon Ayala Y Sus Bravos Del Norte', 'El Fantasma', 'Grupo Maximo Grado', 'Ritchie Valens', 'Keyshia Cole', 'Jesús Ojeda y Sus Parientes', 'Phora', 'Ulices Chaidez Y Sus Plebes', 'Adriel Favela, Los Del Arroyo', 'YBN Nahmir', 'Mustard, Ty Dolla $ign', 'Regulo Caro', 'Los Cuates de Sinaloa', 'Lenin Ramírez, Ulices Chaidez', 'XXXTENTACION', 'Problem', 'Ariel Camacho y Los Plebes Del Rancho', 'Selena', 'Perdidos De Sinaloa', 'Jeremih', 'Traviezoz de la Zierra', 'El Fantasma', 'Russ', 'Snoop Dogg, Kurupt, Nate Dogg, Warren G', 'Ulices Chaidez Y Sus Plebes', 'Ariel Camacho y Los Plebes Del Rancho']",Bakersfield,California
"['Shoreline Mafia', 'Shoreline Mafia', 'Los Hijos De Garcia', 'Shoreline Mafia', 'Los Hijos De Garcia', 'Arsenal Efectivo', 'Arsenal Efectivo', 'Los De Guamuchil', 'Arsenal Efectivo', 'Hijos De Leyva', 'El de La Guitarra', 'El de La Guitarra', 'Grupo Codiciado', 'El de La Guitarra', 'LEGADO 7', 'Mike Sherm', 'LEGADO 7', 'Kamaiyah, YG', 'Grupo Codiciado', 'Grupo Codiciado', 'YG', 'T3R Elemento', 'LEGADO 7', 'YG', 'Omar Ruiz, Gerardo Ortiz', 'Lil Rob', 'Los Alegres Del Barranco', 'T3R Elemento', 'Lenin Ramírez, Gerardo Ortiz, Jesús Chairez', 'Omar Ruiz', 'Grupo Maximo Grado', 'El Fantasma', 'El Fantasma', 'SOB X RBE', 'YG', 'Snoop Dogg, Kurupt, Nate Dogg, Warren G', 'Omar Ruiz', 'T3R Elemento, Salazar Y Su Nueva Eskuela', 'El Fantasma', 'Traviezoz de la Zierra', 'Los Nuevos Rebeldes', 'Lenin Ramírez', 'Adriel Favela, Los Del Arroyo', 'Los Cuates de Sinaloa', 'DJ NRD, Queen']",Baldwin Park,California
