found_name,genres,read_name,spotify_id
"Richard ""Groove"" Holmes","['jazz funk', 'jazz organ', 'soul jazz']","""Groove"" Holmes",7izkpvBGc31hUccjdSNz8k
,[],"""Jaws"" Soundtrack",
Honey and the Sting,[],"""The Sting""",0ug1Ityj2tpfMPtbwPoPVp
"""Weird Al"" Yankovic","['comedy rock', 'comic']","""Weird Al"" Yankovic",1bDWGdIC2hardyt55nlQgG
$uicideBoy$,['underground hip hop'],$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0
'In The Heights' Original Broadway Company,"['broadway', 'hollywood']",'In The Heights' Original Broadway Company,0kvp9mzfvoXvGtjSWTgrEb
*NSYNC,"['boy band', 'dance pop', 'europop', 'pop', 'pop christmas']",'N Sync,6Ff53KvcvAj5U7Z1vojB5o
,[],'N Sync & Gloria Estefan,
'Til Tuesday,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",'Til Tuesday,1L0y9srZMyh9XUnYGv37IP
Butta The Preacher,[],(The Preacher,2u4ntah62avKYy7pv7zaWQ
+44,"['emo', 'pop punk']",+44,7gkRNHOOt7QfhhXf0rEnmj
One of the Girls,[],1 Of The Girls,4TqLoky1rZ40zuYKxWEQmp
10 Years,"['alternative metal', 'christian alternative rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",10 Years,0REMf7H0VP6DwfZ9MbuWph
"10,000 Maniacs","['alternative rock', 'folk', 'folk-pop', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter']","10,000 Maniacs",0MBIKH9DjtBkv8O3nS6szj
,[],100 Proof Aged in Soul,
10cc,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",10cc,6i6WlGzQtXtz7GcC5H5st5
112,"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",112,7urq0VfqxEYEEiZUkebXT4
12 Gauge,['miami bass'],12 Gauge,19dL0fni8Il6amPuGzxkmn
,[],1910 Fruitgum Co.,
Night Terrors of 1927,['la indie'],1927,7m3fe3erw9iO9gs4AeLSG8
1st Class Mob,[],1st Class Mob,5WSTZXpiqtfQfUskeBQ5Yr
2 Chainz,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2 Chainz,17lzZA2AlOHwCwFALHttmp
,[],2 Chainz & Saudi,
,[],2 Chainz & Wiz Khalifa,
2 Hyped Brothers & A Dog,[],2 Hyped Brothers & A Dog,4uuHzqQ4a2GT3jFsAlZSip
2 In A Room,"['hip house', 'vogue']",2 In A Room,2029eJThczywCgnjE33s33
,[],2 Of Clubs,
2 Pistols,"['crunk', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2 Pistols,7JBMlJmJpOk87BZTdbYSHD
2 Unlimited,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",2 Unlimited,18JD8DVlD1fakDAw7E9LFC
20 Fingers,"['eurodance', 'hip house']",20 Fingers,0OarfYzJPCi3lAVZ4nhTTd
21 Savage,"['pop', 'rap', 'trap music']",21 Savage,1URnnhqYAYcrqrcwql10ft
,[],21 Savage & Metro Boomin,
,[],21 Savage & Rvssian,
2Cellos,"['bow pop', 'cello', 'classical christmas', 'classify']",2Cellos,6Fi8CHfO8WGtu3yO8c2Mc4
2gether,['boy band'],2Gether,1FyYqlTR8CuFH7eRGd0tpe
2Pac,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",2Pac,1ZwdS5xdxEREPySFridCfh
2Pac Outlawz,[],2Pac + Outlawz,0DB192uFo3JrMyTLN2mOzz
,[],2Pac Duet,
2nd II None,"['gangster rap', 'west coast rap']",2nd II None,1rlHVdoyfG6pQkzcMWI4dr
2NU,[],2nu,1kmLhAbXWV4YARhEoDUTTE
2Pac,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",2pac,1ZwdS5xdxEREPySFridCfh
3 Doors Down,"['alternative metal', 'heavy christmas', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock', 'rock']",3 Doors Down,2RTUTCvo6onsAnheUk3aL9
,[],3 Man Island,
311,"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']",311,41Q0HrwWBtuUkJc7C1Rp6K
38 Special,"['album rock', 'classic rock', 'country rock', 'folk rock', 'glam metal', 'hard rock', 'heavy christmas', 'mellow gold', 'rock', 'soft rock', 'southern rock']",38 Special,3zXw2Eh96iTT51pytzHdZi
3LW,"['dance pop', 'hip pop', 'pop christmas', 'r&b', 'soul christmas', 'urban contemporary']",3LW,2lFHVcUeJ9Gq6AZiU3ZAOa
3OH!3,"['dance pop', 'electropowerpop', 'emo', 'modern rock', 'pop punk', 'pop rap', 'post-teen pop']",3OH!3,0FWzNDaEu9jdgcYTbcOa4F
3T,"['boy band', 'new jack swing', 'soul christmas']",3T,5rAaG3OuMuWvPWYji9TDgh
3rd Bass,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']",3rd Bass,6EFL6smxzRtpwlQvZFldUc
3rd Party,[],3rd Party,1fdFF6NofEAUQg5Xv97dRr
Son By Four,"['deep latin christian', 'latin', 'salsa', 'tropical']",4 By Four,1qyAl8T6GTcaOViaI7fs1j
4 Non Blondes,"['new wave pop', 'pop rock']",4 Non Blondes,0Je74SitssvJg1w4Ra2EK7
4 The Cause,[],4 The Cause,6cTL8IyMugQHH3lUQnGfMa
40 Thevz,[],40 Thevz,20GRegBvsJnKjeK587myg9
,[],49-ers,
4PM (For Positive Music),[],4PM,5Dc6kPMSEl77Hnj8TtAvcK
The Five Satins,"['brill building pop', 'chicago soul', 'doo-wop', 'rock-and-roll']",5 Satins,2YP02JRa1JLejrg3XTssJS
5 Seconds of Summer,"['pop', 'pop punk', 'post-teen pop']",5 Seconds Of Summer,5Rl15oVamLq7FbSb0NNBNy
,[],5 Stairsteps and Cubie,
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",50 Cent,3q7HBObVc0L8jNeTe5Gofh
,[],50 Cent & Olivia,
5000 Volts,[],5000 Volts,4U9FglMGShioV0yV8qcNFd
504 Boyz,"['crunk', 'dirty south rap', 'southern hip hop']",504 Boyz,5ILgJERmX20rZuVVDQ7z5P
69 Boyz,"['crunk', 'miami bass']",69 Boyz,7qeBsFLeNEuzrDhDMbnDwF
6LACK,"['indie r&b', 'pop', 'r&b', 'rap', 'trap music']",6LACK,4IVAbR2w4JJNJDDRFP3E83
6ig Angu5,[],6ig Angu5,3CmrfiImi4YaWCdoFNV9EK
6ix9ine,"['pop', 'trap music']",6ix9ine,7gZfnEnfiaHzxARJ2LeXrf
7 Aurelius,[],7 Aurelius,4riz3aqKLe0ROniKeD67ME
7 Mile Clee,[],7 Mile,0mG9Sj8nG0NmMhpbGDPRqN
702,"['hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",702,2S8UlyXW4JjjHcbeg8ddIo
TreeHouse 707,[],707,1yQxT2D7aZgoQqDl5paViK
888,['indie rockism'],888,2KOCXIEmkM6K82nL9fovWf
99 Percent,[],9.9,3hPPNy5OBzCU1icQO7Nrok
95 South,"['electro', 'miami bass']",95 South,3vjd6YHdWCqO3MWaYbxDf0
98º,['dance pop'],98 Degrees,6V03b3Y36lolYP2orXn8mV
? & The Mysterians,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'garage rock', 'protopunk', 'psychedelic rock']",? (Question Mark,3ZZHB1Xh2PM88QTMiqHB62
A Boogie Wit da Hoodie,"['pop', 'rap', 'trap music']",A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I
A Few Good Men,['soul christmas'],A Few Good Men,0xngxYYzk5L7EPBsNRQODt
