artist_id,artist_name,genres
7izkpvBGc31hUccjdSNz8k,"Richard ""Groove"" Holmes","['jazz funk', 'jazz organ', 'soul jazz']"
1bDWGdIC2hardyt55nlQgG,"""Weird Al"" Yankovic","['comedy rock', 'comic']"
1VPmR4DJC1PlOtd0IADAO0,$uicideBoy$,['underground hip hop']
0kvp9mzfvoXvGtjSWTgrEb,'In The Heights' Original Broadway Company,"['broadway', 'hollywood']"
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,"['boy band', 'dance pop', 'europop', 'pop', 'pop christmas']"
1L0y9srZMyh9XUnYGv37IP,'Til Tuesday,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
7gkRNHOOt7QfhhXf0rEnmj,+44,"['emo', 'pop punk']"
0REMf7H0VP6DwfZ9MbuWph,10 Years,"['alternative metal', 'christian alternative rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
0MBIKH9DjtBkv8O3nS6szj,"10,000 Maniacs","['alternative rock', 'folk', 'folk-pop', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter']"
6i6WlGzQtXtz7GcC5H5st5,10cc,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
7urq0VfqxEYEEiZUkebXT4,112,"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
19dL0fni8Il6amPuGzxkmn,12 Gauge,['miami bass']
7m3fe3erw9iO9gs4AeLSG8,Night Terrors of 1927,['la indie']
17lzZA2AlOHwCwFALHttmp,2 Chainz,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
2029eJThczywCgnjE33s33,2 In A Room,"['hip house', 'vogue']"
7JBMlJmJpOk87BZTdbYSHD,2 Pistols,"['crunk', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
18JD8DVlD1fakDAw7E9LFC,2 Unlimited,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
0OarfYzJPCi3lAVZ4nhTTd,20 Fingers,"['eurodance', 'hip house']"
1URnnhqYAYcrqrcwql10ft,21 Savage,"['pop', 'rap', 'trap music']"
6Fi8CHfO8WGtu3yO8c2Mc4,2Cellos,"['bow pop', 'cello', 'classical christmas', 'classify']"
1FyYqlTR8CuFH7eRGd0tpe,2gether,['boy band']
1ZwdS5xdxEREPySFridCfh,2Pac,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
1rlHVdoyfG6pQkzcMWI4dr,2nd II None,"['gangster rap', 'west coast rap']"
2RTUTCvo6onsAnheUk3aL9,3 Doors Down,"['alternative metal', 'heavy christmas', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock', 'rock']"
41Q0HrwWBtuUkJc7C1Rp6K,311,"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
3zXw2Eh96iTT51pytzHdZi,38 Special,"['album rock', 'classic rock', 'country rock', 'folk rock', 'glam metal', 'hard rock', 'heavy christmas', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
2lFHVcUeJ9Gq6AZiU3ZAOa,3LW,"['dance pop', 'hip pop', 'pop christmas', 'r&b', 'soul christmas', 'urban contemporary']"
0FWzNDaEu9jdgcYTbcOa4F,3OH!3,"['dance pop', 'electropowerpop', 'emo', 'modern rock', 'pop punk', 'pop rap', 'post-teen pop']"
5rAaG3OuMuWvPWYji9TDgh,3T,"['boy band', 'new jack swing', 'soul christmas']"
6EFL6smxzRtpwlQvZFldUc,3rd Bass,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
1qyAl8T6GTcaOViaI7fs1j,Son By Four,"['deep latin christian', 'latin', 'salsa', 'tropical']"
0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,"['new wave pop', 'pop rock']"
2YP02JRa1JLejrg3XTssJS,The Five Satins,"['brill building pop', 'chicago soul', 'doo-wop', 'rock-and-roll']"
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,"['pop', 'pop punk', 'post-teen pop']"
3q7HBObVc0L8jNeTe5Gofh,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
5ILgJERmX20rZuVVDQ7z5P,504 Boyz,"['crunk', 'dirty south rap', 'southern hip hop']"
7qeBsFLeNEuzrDhDMbnDwF,69 Boyz,"['crunk', 'miami bass']"
4IVAbR2w4JJNJDDRFP3E83,6LACK,"['indie r&b', 'pop', 'r&b', 'rap', 'trap music']"
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,"['pop', 'trap music']"
2S8UlyXW4JjjHcbeg8ddIo,702,"['hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']"
2KOCXIEmkM6K82nL9fovWf,888,['indie rockism']
3vjd6YHdWCqO3MWaYbxDf0,95 South,"['electro', 'miami bass']"
6V03b3Y36lolYP2orXn8mV,98º,['dance pop']
3ZZHB1Xh2PM88QTMiqHB62,? & The Mysterians,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'garage rock', 'protopunk', 'psychedelic rock']"
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,"['pop', 'rap', 'trap music']"
0xngxYYzk5L7EPBsNRQODt,A Few Good Men,['soul christmas']
0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
5xKp3UyavIBUsGy3DQdXeF,A Great Big World,"['neo mellow', 'piano rock', 'pop rock']"
4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']"
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,"['desi', 'desi hip hop', 'filmi', 'indian pop', 'sufi']"
1NU9Em6e8dDo36Js6nEo3t,A Rocket To The Moon,"['alternative pop rock', 'emo', 'neo mellow', 'pixie', 'pop emo', 'pop punk', 'punk christmas']"
1ii6e2pv8VIRwnTER71rMl,A Taste Of Honey,['disco']
55RI2GNCfyXr0f14uIdhwd,A Thousand Horses,"['contemporary country', 'country road', 'lift kit', 'modern country rock']"
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'pop rap', 'rap']"
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,"['east coast hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
5MP9bH9aUryiKQeUvABLIU,A.B. Quintanilla III,"['cumbia', 'grupera', 'latin', 'regional mexican', 'tejano', 'tropical']"
3uuPMhG3hFjDQwMat8Zj9b,A.B. Logic,"['eurodance', 'hip house']"
0LcJLqbBmaGUft1e9Mm8HV,ABBA,"['europop', 'swedish pop']"
2s79xe5F6eUQkjwjww27Fh,ABC,"['art rock', 'dance rock', 'disco', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
5Mh88m8n53h0AOdocE0Rbv,ABN,"['deep southern trap', 'dirty south rap', 'gangster rap']"
711MCceyCBcFnzjGY4Q7Un,AC/DC,"['album rock', 'classic rock', 'hard rock', 'heavy christmas', 'rock']"
19I4tYiChJoxEO5EuviXpz,AFI,"['alternative metal', 'emo', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo', 'skate punk']"
6s22t5Y3prQHyaHWUN1R1C,AJR,['modern rock']
4njdEjTnLfcGImKZu1iSrz,AWOLNATION,"['alternative rock', 'la indie', 'modern rock', 'stomp pop']"
7HqrSDuI9lHuH1CDismTFg,AZ,"['alternative hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap', 'southern hip hop']"
0urTpYCsixqZwgNTkPJOJ4,Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
5338fdSzGNOFD4cxAxDTeq,Aaron Carter,"['dance pop', 'post-teen pop']"
772SIFJQiXTCfxncTK1UMn,Aaron Hall,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul christmas', 'urban contemporary']"
2t2XKfWKLXpFIjFwy1K8wx,Aaron Lewis,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'post-grunge', 'redneck']"
3YmywXnB2RxQ9IvUzZqvo9,Aaron Lines,"['canadian country', 'country road']"
57ALvbCBaCkNlgTOSiUPdT,Aaron Neville,"['jazz blues', 'jazz christmas', 'memphis soul', 'motown', 'new orleans blues', 'pop christmas', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
4XwKU420OWVk38vz1KvH3M,Aaron Tippin,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road', 'country rock', 'outlaw country', 'redneck', 'traditional country']"
5BKzvAPtNXnt0LwzGvKOH3,Aaron Watson,"['contemporary country', 'country', 'country road', 'deep texas country', 'modern country rock', 'outlaw country', 'texas country']"
0wu8tyvMCOGjBM72P3zd9w,Irving Aaronson and His Commanders,['dixieland']
4Nfj9qeKS8OmfFmOA6K6K2,Abra Moore,"['ectofolk', 'lilith', 'new wave pop']"
31HjiqargV4NAw4GZqUale,Ace Hood,"['crunk', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
62olK5zZHSgFUXGDykgBL8,Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
5ksRONqssB7BR161NTtJAm,Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'new wave pop', 'pop rock', 'swedish pop']"
7BMccF0hQFBpP6417k1OtQ,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'pop rap', 'rap', 'underground hip hop']"
3QP0XPDwbvGivqDAaJ5f5G,Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
284fAcjDaBYlPBLZnQkZU0,Adam Faith,"['brill building pop', 'british invasion', 'merseybeat', 'rock-and-roll', 'rockabilly']"
3dctbbXhrRgigX1icexnws,Adam Hicks,['post-teen pop']
6prmLEyn4LfHlD9NnXWlf7,Adam Lambert,"['dance pop', 'idol', 'pop', 'post-teen pop']"
4bYPcJP5jwMhSivRcqie2n,Adam Levine,"['neo mellow', 'pop christmas']"
2LB9H0px4qWbCHg9Axzhga,Adam Sandler,"['comedy', 'comic']"
1rBtwsSkGLKYGhL5yj98Wd,Adam Wade,['deep adult standards']
4dpARuHxo51G3z768sgnrY,Adele,['pop']
266SmBZTt4zRzaKEANWbfQ,Adina Howard,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
1gecXg2ffE7G6AfAFQsVWr,Adrian Baker,['library music']
67ACRXvvMXGf3zGJMefM63,Adrian Belew,"['art rock', 'canterbury scene', 'jazz fusion', 'progressive rock', 'symphonic rock', 'zolo']"
0PrhwIWbqYFYyY2ZrkIWgI,Adriel Favela,"['regional mexican', 'regional mexican pop']"
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']"
4D75GcNG95ebPtNvoNVXhz,Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']"
4Icvbp9RDt5aY2TWDOVDsr,Afroman,"['gangster rap', 'hip hop', 'pop christmas', 'rap']"
4UPcJIhr5K5fPsm4itqT7E,After 7,"['funk', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
7fUtt9kVZOyn9LWy0JbDRI,Agnetha Fältskog,"['europop', 'swedish pop']"
6gc6oo3u2f7SqTd4mhe81O,Ahmad Jamal,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz fusion', 'jazz piano', 'latin jazz', 'soul jazz', 'stride', 'vocal jazz']"
3UpIbyXfGzmHG6TMH4dJEk,Aimee Mann,"['alternative pop', 'anti-folk', 'folk', 'folk christmas', 'folk-pop', 'lilith', 'new wave pop', 'permanent wave', 'pop christmas', 'pop rock', 'singer-songwriter']"
4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,"['mellow gold', 'soft rock']"
7xklw3WodFZiNNmQt3DIgp,Angels & Airwaves,"['emo', 'modern rock', 'pop rock']"
0z4gvV4rjIZ9wHck67ucSV,Akon,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
1fvz0vd4P0LNMkAysF1ivk,Al B. Sure!,"['funk', 'hip pop', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'urban contemporary']"
1HplhaIu7J9Qh9rllqt572,Al Casey,['surf music']
3dkbV4qihUeMsqN4vBGg93,Al Green,"['chicago soul', 'classic funk rock', 'funk', 'jazz blues', 'memphis soul', 'neo soul', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
0TGsWvnbtExsbGUSWtXENE,Al Hirt,"['dixieland', 'easy listening', 'exotica', 'jazz christmas', 'jazz trumpet', 'lounge', 'new orleans jazz']"
3YR92OLKlvkK5oKNekSqXe,Al Jarreau,"['adult standards', 'classic funk rock', 'disco', 'jazz christmas', 'jazz funk', 'quiet storm', 'smooth jazz', 'vocal jazz']"
7egNqIGRldMzifHoh8pib6,Al Martino,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'vocal jazz']"
0DW7boyjvbaSP3OJ72sXgC,Al Stewart,"['album rock', 'art rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'singer-songwriter', 'soft rock', 'symphonic rock']"
2RwV62DIxFGEn8aWO3iaMM,Al Wilson,"['chicago soul', 'motown', 'northern soul']"
6rJqqRce0Kvo2dJUXoHleC,Alabama,"['contemporary country', 'country', 'country christmas', 'country road', 'country rock', 'outlaw country', 'southern rock', 'traditional country']"
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,"['folk-pop', 'funk', 'garage rock', 'indie folk', 'indie pop', 'modern blues', 'modern rock', 'stomp and holler']"
4mxWe1mtYIYfP040G38yvS,Alan Jackson,"['contemporary country', 'country', 'country christmas', 'country road', 'traditional country']"
