City,State,Latitude,Longitude
San Juan,PR,18.465901,66.10356
Bayamon,PR,18.326702,66.17417
Carolina,PR,18.410462,66.06053
Amherst,MA,42.367092,72.46457
Worcester,MA,42.265275,71.87941
Boston,MA,42.370567,71.02696
Brighton,MA,42.349768,71.10488
Cambridge,MA,42.380442,71.13294
Somerville,MA,42.38092,71.09889
Waltham,MA,42.398588,71.2450
North Attleboro,MA,41.964376,71.32644
Coventry,RI,41.694251,71.63678
Providence,RI,41.82275,71.41445
Bath,ME,43.867892,69.82649
New Haven,CT,41.365709,72.92750
Stamford,CT,41.054082,73.53621
Clifton,NJ,40.877949,74.14123
North Bergen,NJ,40.789724,74.02323
Passaic,NJ,40.855103,74.12691
West New York,NJ,40.7888,74.01153
Jersey City,NJ,40.73276,74.07548
Newark,NJ,40.736101,74.2250
Elizabeth,NJ,40.672052,74.18343
Paterson,NJ,40.915045,74.17448
Camden,NJ,39.80237,74.93825
Trenton,NJ,40.280531,74.71201
Staten Island,NY,40.623632,74.09332
Bronx,NY,40.819329,73.92035
Brooklyn,NY,40.694481,73.98931
Jamaica,NY,40.651378,73.87077
Queens Village,NY,40.729293,73.74981
Garden City,NY,40.726801,73.63972
Syracuse,NY,43.02143,76.19770
Buffalo,NY,42.929303,78.83270
Rochester,NY,43.286024,77.68426
Ithaca,NY,42.402794,76.48399
Pittsburgh,PA,40.434436,80.02481
Greensburg,PA,40.347017,79.50072
State College,PA,40.881935,77.86782
Lancaster,PA,40.076553,76.3106
Philadelphia,PA,40.001811,75.1178
Washington,DC,38.911936,77.01671
Manassas,VA,38.744685,77.48716
Laurel,MD,39.093136,76.88194
College Park,MD,38.979495,76.89585
Hyattsville,MD,38.94161,76.93744
Gaithersburg,MD,39.139336,77.18295
Silver Spring,MD,39.036289,77.01094
Baltimore,MD,39.296536,76.62348
Gwynn Oak,MD,39.325605,76.73659
Arlington,VA,38.885484,77.09911
Alexandria,VA,38.823062,77.07962
Harrisonburg,VA,38.422777,78.87713
Charlottesville,VA,38.093604,78.56113
Richmond,VA,37.524246,77.49315
Norfolk,VA,36.895911,76.20852
Newport News,VA,37.058296,76.46347
Roanoke,VA,37.274175,79.9578
Blacksburg,VA,37.256283,80.4347
Lynchburg,VA,37.383112,79.17832
Greensboro,NC,36.055285,79.83169
Chapel Hill,NC,36.004647,79.05447
Raleigh,NC,35.773755,78.60417
Durham,NC,36.004307,78.87546
Charlotte,NC,35.26002,80.80415
Fayetteville,NC,35.053416,78.78102
Wilmington,NC,34.163503,77.9548
Asheville,NC,35.602711,82.56728
Columbia,SC,33.987454,81.02486
Charleston,SC,32.780326,79.94084
