artist_id,artist_name
7izkpvBGc31hUccjdSNz8k,"Richard ""Groove"" Holmes"
1bDWGdIC2hardyt55nlQgG,"""Weird Al"" Yankovic"
1VPmR4DJC1PlOtd0IADAO0,$uicideBoy$
0kvp9mzfvoXvGtjSWTgrEb,'In The Heights' Original Broadway Company
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC
1L0y9srZMyh9XUnYGv37IP,'Til Tuesday
7gkRNHOOt7QfhhXf0rEnmj,+44
0REMf7H0VP6DwfZ9MbuWph,10 Years
0MBIKH9DjtBkv8O3nS6szj,"10,000 Maniacs"
6i6WlGzQtXtz7GcC5H5st5,10cc
7urq0VfqxEYEEiZUkebXT4,112
19dL0fni8Il6amPuGzxkmn,12 Gauge
7m3fe3erw9iO9gs4AeLSG8,Night Terrors of 1927
17lzZA2AlOHwCwFALHttmp,2 Chainz
2029eJThczywCgnjE33s33,2 In A Room
7JBMlJmJpOk87BZTdbYSHD,2 Pistols
18JD8DVlD1fakDAw7E9LFC,2 Unlimited
0OarfYzJPCi3lAVZ4nhTTd,20 Fingers
1URnnhqYAYcrqrcwql10ft,21 Savage
6Fi8CHfO8WGtu3yO8c2Mc4,2Cellos
1FyYqlTR8CuFH7eRGd0tpe,2gether
1ZwdS5xdxEREPySFridCfh,2Pac
1rlHVdoyfG6pQkzcMWI4dr,2nd II None
2RTUTCvo6onsAnheUk3aL9,3 Doors Down
41Q0HrwWBtuUkJc7C1Rp6K,311
3zXw2Eh96iTT51pytzHdZi,38 Special
2lFHVcUeJ9Gq6AZiU3ZAOa,3LW
0FWzNDaEu9jdgcYTbcOa4F,3OH!3
5rAaG3OuMuWvPWYji9TDgh,3T
6EFL6smxzRtpwlQvZFldUc,3rd Bass
1qyAl8T6GTcaOViaI7fs1j,Son By Four
0Je74SitssvJg1w4Ra2EK7,4 Non Blondes
2YP02JRa1JLejrg3XTssJS,The Five Satins
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer
3q7HBObVc0L8jNeTe5Gofh,50 Cent
5ILgJERmX20rZuVVDQ7z5P,504 Boyz
7qeBsFLeNEuzrDhDMbnDwF,69 Boyz
