city_id,city_name,city_state,lat,lon
0,San Juan,Puerto Rico,18.465901,66.10356
1,Bayamon,Puerto Rico,18.326702,66.17416999999999
2,Carolina,Puerto Rico,18.410462,66.06053
3,Amherst,Massachusetts,42.367092,72.46457
4,Worcester,Massachusetts,42.265275,71.87941
5,Boston,Massachusetts,42.370567,71.02696
6,Brighton,Massachusetts,42.349768,71.10488000000002
7,Cambridge,Massachusetts,42.380442,71.13294
8,Somerville,Massachusetts,42.38092,71.09889
9,Waltham,Massachusetts,42.398588,71.245
10,North Attleboro,Massachusetts,41.964376,71.32644
11,Coventry,Rhode Island,41.694251,71.63678
12,Providence,Rhode Island,41.82275,71.41445
13,Bath,Maine,43.867892,69.82649
14,New Haven,Connecticut,41.365709,72.9275
15,Stamford,Connecticut,41.054082,73.53621
16,Clifton,New Jersey,40.877949,74.14123000000002
17,North Bergen,New Jersey,40.789724,74.02323
18,Passaic,New Jersey,40.855103,74.12691
19,West New York,New Jersey,40.7888,74.01153000000002
20,Jersey City,New Jersey,40.73276,74.07548
21,Newark,New Jersey,40.736101,74.225
22,Elizabeth,New Jersey,40.672052,74.18343
23,Paterson,New Jersey,40.915045,74.17448
24,Camden,New Jersey,39.80237,74.93825
25,Trenton,New Jersey,40.280531,74.71200999999998
26,Staten Island,New York,40.623632,74.09331999999998
27,Bronx,New York,40.819329,73.92035
28,Brooklyn,New York,40.694481,73.98931
29,Jamaica,New York,40.651378,73.87077
30,Queens Village,New York,40.729293,73.74981
31,Garden City,New York,40.726801,73.63972
32,Syracuse,New York,43.02143,76.1977
33,Buffalo,New York,42.929303,78.8327
34,Rochester,New York,43.286024,77.68426
35,Ithaca,New York,42.402794,76.48399
36,Pittsburgh,Pennsylvania,40.434436,80.02481
37,Greensburg,Pennsylvania,40.347017,79.50072
38,State College,Pennsylvania,40.881935,77.86782
39,Lancaster,Pennsylvania,40.076553,76.3106
40,Philadelphia,Pennsylvania,40.001811,75.1178
41,Washington,District of Columbia,38.911936,77.01671
42,Manassas,Virginia,38.744685,77.48716
43,Laurel,Maryland,39.093136,76.88194
44,College Park,Maryland,38.979495,76.89585
45,Hyattsville,Maryland,38.94161,76.93744000000002
46,Gaithersburg,Maryland,39.139336,77.18295
47,Silver Spring,Maryland,39.036289,77.01094
48,Baltimore,Maryland,39.296536,76.62348
49,Gwynn Oak,Maryland,39.325605,76.73659
50,Arlington,Virginia,38.88548400000001,77.09911
51,Alexandria,Virginia,38.823062,77.07961999999998
52,Harrisonburg,Virginia,38.422777,78.87713000000002
53,Charlottesville,Virginia,38.093604,78.56113
54,Richmond,Virginia,37.52424600000001,77.49315
55,Norfolk,Virginia,36.895911,76.20852
56,Newport News,Virginia,37.058296,76.46347
57,Roanoke,Virginia,37.274175,79.9578
58,Blacksburg,Virginia,37.256283,80.4347
59,Lynchburg,Virginia,37.383112,79.17832
60,Greensboro,North Carolina,36.055285,79.83169000000002
61,Chapel Hill,North Carolina,36.004647,79.05447
62,Raleigh,North Carolina,35.773755,78.60417
63,Durham,North Carolina,36.004307,78.87546
64,Charlotte,North Carolina,35.26002000000001,80.80415
65,Fayetteville,North Carolina,35.053416,78.78102
66,Wilmington,North Carolina,34.16350300000001,77.9548
67,Asheville,North Carolina,35.602711,82.56728000000003
68,Columbia,South Carolina,33.987454,81.02486
69,Charleston,South Carolina,32.780326,79.94084000000002
70,Greenville,South Carolina,34.848567,82.40287
71,Clemson,South Carolina,34.75974,82.80215
72,Westminster,South Carolina,34.696493,83.1535
73,Norcross,Georgia,33.960353000000005,84.03785
74,Alpharetta,Georgia,34.112373,84.302
75,Marietta,Georgia,33.912473,84.55718
76,Cumming,Georgia,34.193041,84.09258
77,Decatur,Georgia,33.772554,84.29172
78,Lawrenceville,Georgia,33.929464,84.10322
79,Stone Mountain,Georgia,33.786405,84.20340999999998
80,Acworth,Georgia,34.023398,84.67378000000002
81,Atlanta,Georgia,33.844371,84.47399999999999
82,Athens,Georgia,33.992902,83.35369
83,Augusta,Georgia,33.456687,81.96918000000002
84,Savannah,Georgia,32.072257,81.13561
85,Jacksonville,Florida,30.337538,81.76862
86,Tallahassee,Florida,30.418514,84.20336999999998
87,Pensacola,Florida,30.424838,87.25647
88,Gainesville,Florida,29.68041,82.34573
89,Orlando,Florida,28.545179,81.37329
90,Hialeah,Florida,25.558428,80.45815999999998
91,Hollywood,Florida,26.091514,80.19296
92,Pompano Beach,Florida,26.240059,80.13981
93,Miami,Florida,25.779076,80.1978
94,Fort Lauderdale,Florida,26.085115,80.15930999999998
95,West Palm Beach,Florida,26.672643,80.07061
96,Tampa,Florida,27.996097,82.58203
97,Saint Petersburg,Florida,27.775654,82.6409
98,Lakeland,Florida,28.059997,81.95612
99,Fort Myers,Florida,26.564355,81.92506
100,Naples,Florida,25.855534,81.3871
101,Bradenton,Florida,27.404731,82.47045
102,Sarasota,Florida,27.335023,82.53716
103,Ocala,Florida,29.238672,82.1694
104,Kissimmee,Florida,28.307138,81.46138
105,Birmingham,Alabama,33.456412,86.8019
106,Tuscaloosa,Alabama,33.241899,87.59759
107,Huntsville,Alabama,34.718428,86.55643
108,Montgomery,Alabama,32.356988,86.25780999999998
109,Mobile,Alabama,30.701142,88.10318000000002
110,Auburn,Alabama,32.547542,85.46822
111,Franklin,Tennessee,35.890746,86.96569000000002
112,Murfreesboro,Tennessee,35.762951,86.37215
113,Cleveland,Tennessee,35.149223,84.87403
114,Chattanooga,Tennessee,35.017818,85.20642
115,Memphis,Tennessee,35.169255,89.99041
116,Knoxville,Tennessee,36.03233400000001,83.8848
117,Crossville,Tennessee,35.962348,85.05143000000002
118,Ridgeland,Mississippi,32.436064,90.1373
119,Jackson,Mississippi,32.291095,90.19268
120,Hattiesburg,Mississippi,31.245138,89.2807
121,Louisville,Kentucky,38.188962,85.67681
122,Lexington,Kentucky,38.016674,84.48604
123,Erlanger,Kentucky,39.01968400000001,84.59138
124,Dublin,Ohio,39.969036,83.01138
125,Columbus,Ohio,40.040113,82.89721999999998
126,Mount Sterling,Ohio,39.765249,83.34483
127,Marion,Ohio,40.616604,83.06929000000002
128,Toledo,Ohio,41.72068400000001,83.56935
129,Cleveland,Ohio,41.523401,81.59964000000002
130,Akron,Ohio,41.012239,81.50783
131,Cincinnati,Ohio,39.166759000000006,84.5382
132,Fairborn,Ohio,39.728549,84.01483
133,Dayton,Ohio,39.75047100000001,84.26859
134,Indianapolis,Indiana,39.775092,86.1321
135,Fort Wayne,Indiana,41.093763,85.07070999999998
136,Bloomington,Indiana,39.07881,86.43509
137,West Lafayette,Indiana,40.467303,86.92813000000002
138,Ann Arbor,Michigan,42.266638,83.84904
139,Taylor,Michigan,42.245837,83.24906
140,Southgate,Michigan,42.257801,83.28593000000002
141,Detroit,Michigan,42.239933,83.15082
142,Farmington,Michigan,42.505138,83.40723
143,East Lansing,Michigan,42.737334,84.50352
144,Ames,Iowa,42.037879,93.60025
145,Pella,Iowa,41.341915,93.09279
146,Des Moines,Iowa,41.672687,93.57217
147,Dubuque,Iowa,42.458876,90.87713
148,Baldwin,Iowa,42.120007,90.81634
149,Iowa City,Iowa,41.648207,91.54157
150,Cedar Rapids,Iowa,41.976612,91.65757
151,Milwaukee,Wisconsin,43.011264,87.9584
152,Janesville,Wisconsin,42.710981,89.1122
153,Stoughton,Wisconsin,42.931289,89.16835
154,Madison,Wisconsin,43.06956,89.42385999999998
155,Eau Claire,Wisconsin,44.75653,91.47309
156,Saint Paul,Minnesota,44.967965,93.09216
